id,name,bodyPart,mode,instructions,mediaUrl,type,exRxLink,classification,target,synergists,stabilizers,dynamicStabilizers,youtubeId
e0069,Handle Band Reverse Wrist Curl,FOREARMS,PULL,,99413,STRENGTH,,BASIC,,,,,
e0070,Machine Hip Adductor Machine,ADDUCTORS,LOWER,,59813,STRENGTH,https://exrx.net/WeightExercises/HipAdductors/LVSeatedHipAdduction,AUXILIARY,,,,,
e0071,Machine Hip Abductor Machine,ABDUCTORS,LOWER,,59713,STRENGTH,https://exrx.net/WeightExercises/HipAbductor/LVSeatedHipAbduction,AUXILIARY,,,,,
e0072,Calf Press,CALVES,LOWER,,233513,STRENGTH,https://exrx.net/WeightExercises/Gastrocnemius/SLSeatedCalfPress,BASIC,,,,,g_E7_q1z2bo
e0073,Standing Dumbbell Calf Raise,CALVES,LOWER,,41713,STRENGTH,https://exrx.net/WeightExercises/Gastrocnemius/DBStandingCalfRaise,BASIC,,,,,GyWw_Q_aIbE
e0074,Standing Barbell Calf Raise,CALVES,LOWER,,137213,STRENGTH,https://exrx.net/WeightExercises/Gastrocnemius/BBStandingCalfRaise,BASIC,,,,,SpwcssWT0p4
e0075,Single Leg Standing Calf Raise,CALVES,LOWER,,505213,STRENGTH,https://exrx.net/WeightExercises/Gastrocnemius/BWSingleLegCalfRaise,BASIC,,,,,KcTEGifMTDY
e0076,Seated Back Extension,LOWERBACK,PULL,,57313,STRENGTH,https://exrx.net/WeightExercises/ErectorSpinae/LVBackExtensionN,AUXILIARY,ERECTOR_SPINAE,,,,4sla2xidkD0
e0077,Back Extensions,LOWERBACK,PULL,,,STRENGTH,https://exrx.net/WeightExercises/ErectorSpinae/Wt45Hyperextension,NEUTRAL,ERECTOR_SPINAE,,,,ZaLvgeHC_54
e0078,Superman,LOWERBACK,PULL,,80413,STRENGTH,https://exrx.net/WeightExercises/ErectorSpinae/Superman,AUXILIARY,ERECTOR_SPINAE,,,,v4nNlF3WDs0
e0079,Shoulder Stretch,SHOULDERS,,,198013,FLEXIBILITY,,,,,,,
e0080,Toe Touch,HAMSTRINGS,,,321213,FLEXIBILITY,,,,,,,
e0081,Samson Stretch,GLUTES,,,493013,FLEXIBILITY,,,,,,,
e0082,Butterfly Stretch,ADDUCTORS,,,149413,FLEXIBILITY,,,,,,,
e0083,Cobra Stretch,ABS,,,148213,FLEXIBILITY,,,,,,,
e0084,Knees To Chest,LOWERBACK,,,55913,FLEXIBILITY,,,,,,,
e0085,Cat Cow,LOWERBACK,,,458013,FLEXIBILITY,,,,,,,
e0086,Calf Stretch,CALVES,,,137713,FLEXIBILITY,,,,,,,
e0087,Jog,,,,68413,FLEXIBILITY,,,,,,,
e0088,Bodyweight Squats,,,,78713,FLEXIBILITY,,,,,,,
e0089,Bodyweight Lunges,,,,61213,FLEXIBILITY,,,,,,,
e0090,Leg Swings,ABDUCTORS,,,95513,FLEXIBILITY,,,,,,,
e0091,Arm Circles,SHOULDERS,,,390513,FLEXIBILITY,,,,,,,
e0092,Run,,,,68413,CARDIO,,,,,,,
e0093,Stair Stepper,,,,231113,CARDIO,,,,,,,
e0094,Jump Rope,,,,261213,CARDIO,,,,,,,
e0095,Sprint,,,,85813,CARDIO,,,,,,,
e0096,Walk,,,,82813,CARDIO,,,,,,,
e0097,Rowing,,,,116113,CARDIO,,,,,,,
e0098,Cycling,,,,233113,CARDIO,,,,,,,
e0099,Windmill,,,,390813,FLEXIBILITY,,,,,,,
e0100,Bodyweight Squats,QUADS,,,78713,STRENGTH,https://exrx.net/WeightExercises/Quadriceps/BWSquat,BASIC,QUADS,,,,iiKn5FiVUjI
e0101,Bodyweight Lunges,QUADS,,,61213,STRENGTH,https://exrx.net/WeightExercises/Quadriceps/BWLunge,NEUTRAL,QUADS,,,,krxGoIpg9XQ
e0102,Silent Burpee,CHEST,,,503913,STRENGTH,,,,,,,
e0103,Burpee,CHEST,,,116013,STRENGTH,https://exrx.net/Aerobic/Exercises/Burpee,,,,,,
e0104,Mountain Climber,ABS,CORE,,63013,STRENGTH,https://exrx.net/Aerobic/Exercises/MountainClimber,,,,,,
e0105,Pull Up,BACK,PULL,,65213,STRENGTH,https://exrx.net/WeightExercises/LatissimusDorsi/BWPullup,BASIC,LATISSIMUS_DORSI,,,,jgFel4wZl3I
e0106,Flutter Kicks,ABS,CORE,,45913,STRENGTH,https://exrx.net/WeightExercises/HipFlexors/BWScissorKick,BASIC,,,,,5V4CETRga4E
e107,Shoulder Tap,SHOULDERS,,,369913,STRENGTH,,,,,,,
e108,Diamond Pushup,TRICEPS,,,28313,STRENGTH,,,,,,,
e109,Bird Dog,BACK,,,441613,STRENGTH,,,,,,,
e110,Side Plank Hip Adduction,ADDUCTORS,,,177513,STRENGTH,,,,,,,
e111,Side Bridge Hip Abduction,ABDUCTORS,,,177413,STRENGTH,,,,,,,
e112,Bridge Hip Abduction,ABDUCTORS,,,14413,STRENGTH,,,,,,,
e113,Glute Bridge,GLUTES,,,247113,STRENGTH,,,,,,,
e114,Single Leg Deadlift,HAMSTRINGS,,,392813,STRENGTH,,,,,,,
e115,Single Leg Calf Raise,CALVES,,,476113,STRENGTH,,,,,,,
e116,Machine-assisted Triceps Dip,TRICEPS,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/Triceps/ASTriDip,BASIC,TRICEPS_BRACHII,,,,zQ9ELqwBgAE
e117,Close Grip Bench Press,TRICEPS,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/Triceps/SMCloseGripBenchPress,BASIC,TRICEPS_BRACHII,,,,XEFDMwmrLAM
e118,Bench Dip,TRICEPS,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/Triceps/BWBenchDipFloor,BASIC,PECTORALIS_MAJOR_STERNAL,,,,yvAzWxRsnqU
e119,Machine-assisted Chest Dip,CHEST,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/AsChestDip,BASIC,PECTORALIS_MAJOR_STERNAL,,,,zQ9ELqwBgAE
e120,Dumbbell Bench Press,CHEST,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/DBBenchPress,BASIC,PECTORALIS_MAJOR_STERNAL,,,,ZaDlbm8E8Tg
e121,Chest Press,CHEST,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/LVChestPress,AUXILIARY,PECTORALIS_MAJOR_STERNAL,,,,tzudm_FA4ew
e122,Incline Dumbbell Bench Press,CHEST,PUSH,,,STRENGTH,https://exrx.net/WeightExercises/PectoralSternal/DBBenchPress,BASIC,PECTORALIS_MAJOR_CLAVICULAR,,,,8bfJ3sfUTos
e123,Smith Machine Squat,QUADS,LOWER,,,STRENGTH,https://exrx.net/WeightExercises/Quadriceps/SMSquat,BASIC,QUADS,,ERECTOR_SPINAE,,QcmonZUuumg
e124,Dumbbell Split Squat,QUADS,LOWER,,,STRENGTH,https://exrx.net/WeightExercises/GluteusMaximus/DBSplitSquat,BASIC,QUADS,,ERECTOR_SPINAE,,Wcmg-3iHwjQ
e125,Dumbbell Step Up,QUADS,LOWER,,,STRENGTH,https://exrx.net/WeightExercises/Quadriceps/DBStepUp,BASIC,QUADS,,ERECTOR_SPINAE,,DxUNi119Qzs
e126,Barbell Split Squat,QUADS,LOWER,,,STRENGTH,https://exrx.net/WeightExercises/Quadriceps/BBSingleLegSplitSquat,BASIC,QUADS,,ERECTOR_SPINAE,,iHkBjcx9CiQ
